"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
29070,542.72252,477.863,0,0.7566,0.03626,0,0,0,0,0,448.67,918.11,606.19,782.93,0,0,0,3582.49,4061.84,5101.57,5101.57,0,38.07,0,790.9,1543.09,1333.64,716.21,0,38.17,0,1843.95,1910.84,1810.65,1155.08,0,32.6,0,1732.16,2226.39,2232.94,1706.01
29093,543.18345,729.868,1,0.04866,0.34765,0,0,0,0,0,0,0,427.36,0,1843.35,1858.97,840.42,1400.02,265.92,1299.74,1299.74,1687.61,1340.73,862.84,0,0,0,0,1484.25,1599.33,458.69,0,0,0,0,1697.24,1474.22,1195.05,0,0,0,0
29095,543.21597,902.712,0,0.47535,0.45907,0,0,0,0,177.13,305.7,0,0,0,1222.97,1127.26,1520.62,0,0,321.33,321.33,792.02,923.8,742.08,360.85,332.87,0,0,601.66,686.22,569.63,316.54,331.73,0,0,299.94,215.48,559.29,0,0,0,0
29193,544.36033,1083.25,0,0.5919,0.00106,0,0,0,0,170.3,283.43,1124.35,1731.22,1182.22,0,0,0,0,0,0,0,0,0,0,259.35,1762.32,1082.77,1743.3,0,0,0,955.82,1053.74,1652.8,3492.44,0,0,0,418.18,374.99,998.05,1931.39
29200,544.71755,902.2875,0,0.20011,0.093,0,0,0,0,0,220.58,0,178.56,0,1194.2,1832.57,1186.7,960.57,1020.88,1622.08,1622.08,1427.18,1469.15,1424.88,838.56,307.83,0,0,1308.55,1319.74,1618.62,1015.6,209.5,0,0,898.43,1250.04,1697.47,562.09,179.93,551.41,0
29217,544.89384,68.95685,0,0.5872,0.00533,0,0,0,13.69,274.75,3700.55,5152.61,6411.18,5585.54,3.02,205.04,2109.39,1898.29,1936.96,1803.44,1803.44,5.48,162.81,3789.88,6959.15,9219.8,8619.07,8829.63,9.53,221.05,2467.39,7574.75,8418.56,9804.85,11069.29,15.39,126.94,2746.78,7539.39,8161.17,9999.19,10085.07
29246,545.26583,874.918,0,0.72857,0.04654,0,0,0,0,0,2081.59,2902.58,2113.58,58.59,1771.54,1941.99,1839.37,7695.34,7689.29,6969.13,6969.13,2063.97,2033.26,1969.8,2573.16,2534.82,2232.48,997.56,1640.44,2116.38,1794.08,2972.29,2793.26,3024.31,1309.21,1820.81,2062.48,2277.8,2943.98,2561.12,1988.69,1394.91
29274,545.34684,875.1575,0,0.41893,0.03755,0,0,0,0,0,2226.88,2963.74,2259.33,59.82,1924.57,1980.47,1875.53,7356,7581.97,6867.75,6867.75,2111.11,2053.78,2009,2132.16,2510.64,1605.06,956.28,1674.86,2164.21,1831.72,2946.07,2855.86,2932.69,1337.49,1882.54,2103.79,2528.14,3002.87,1809.32,1516.21,1425.56
29275,545.34688,994.655,0,0.25383,0.03828,0,0,0,0,4683.88,91.1,87.13,57.42,0,63.73,37.81,2644.89,3186.99,3801.14,4119.64,4119.64,82.68,44.91,3691.52,4178.1,6698.47,7257.03,8630.78,79.58,79.61,3469.82,3919.7,6772.42,7631.44,8012.13,85.49,87.72,3650.34,4149.72,6188.65,7787.97,8230.33
29282,545.67296,960.744,0,0.05274,0.01121,0,0,0,0,0,0,0,116.77,107.08,30.5,51.9,56.58,0,70.7,86.95,86.95,106.37,55.57,80.95,2841.08,2464.29,2962.59,3299.84,104.78,227.19,359,1784.55,3001.21,2656.6,2297,25.56,215.27,160.8,1977.39,3255.31,3123.85,2710.55
